route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
301,YRT,301,MARKHAM EXPRESS,,3,,0079C1,FFFFFF
302,YRT,302,UNIONVILLE EXPRESS,,3,,00B5CC,FFFFFF
303,YRT,303,BUR OAK EXPRESS,,3,,702D03,FFFFFF
304,YRT,304,MOUNT JOY EXPRESS,,3,,4C7520,FFFFFF
305,YRT,305,BOX GROVE EXPRESS,,3,,A3248F,FFFFFF
401,YRT,401,BROTHER ANDRE SS VIA BOX GROVE,,3,,626469,FFFFFF
402,YRT,402,BUR OAK / PIERRE ELLIOT TRUDEA SS,,3,,626469,FFFFFF
403,YRT,403,ST BROTHER ANDRE SCHOOL SPECIAL,,3,,A3248F,FFFFFF
405,YRT,405,ST AUGUSTINE SS,,3,,626469,FFFFFF
406,YRT,406,MARKHAM DISTRICT SS,,3,,626469,FFFFFF
410,YRT,410,MARKHAM DISTRICT SS VIA CARLTON,,3,,626469,FFFFFF
411,YRT,411,MARKHAM DISTRICT SS VIA BOX GROVE,,3,,626469,FFFFFF
412,YRT,412,THORNLEA SCHOOL SPECIAL,,3,,626469,FFFFFF
413,YRT,413,ST ROBERT/THORNLEA SS VIA JOHN,,3,,626469,FFFFFF
415,YRT,415,STOUFFVILLE HIGH SS,,3,,626469,FFFFFF
416,YRT,416,MARKHAM DISTRICT SS VIA RIVERWALK,,3,,626469,FFFFFF
417,YRT,417,BILL HOGARTH SS,,3,,636569,FFFFFF
418,YRT,418,PIERRE ELLIOT TRUDEAU SS,,3,,626469,FFFFFF
420,YRT,420,NEWMARKET HIGH SS VIA SAVAGE,,3,,626469,FFFFFF
423,YRT,423,NEWMARKET HIGH SS VIA BRISTOL,,3,,626469,FFFFFF
424,YRT,424,KESWICK HIGH SS,,3,,626469,FFFFFF
425,YRT,425,HURON HTS SS VIA HOLLAND LANDING,,3,,626469,FFFFFF
426,YRT,426,G.W. WILLIAMS SS VIA HOLLIDGE,,3,,626469,FFFFFF
427,YRT,427,SACRED HEART SS VIA NEWMARKET HIGH,,3,,626469,FFFFFF
428,YRT,428,G.W. WILLIAMS SS VIA HENDERSON,,3,,626469,FFFFFF
429,YRT,429,CARDINAL CARTER SS,,3,,626469,FFFFFF
430,YRT,430,SACRED HEART SCHOOL SPECIAL,,3,,626469,FFFFFF
432,YRT,432,AURORA HIGH SS,,3,,626469,FFFFFF
433,YRT,433,CARDINAL CARTER SS VIA KINGSHILL,,3,,A3248F,FFFFFF
434,YRT,434,CARDINAL CARTER SS VIA WELLINGTON,,3,,A3248F,FFFFFF
436,YRT,436,CARDINAL CARTER SS VIA PARKER,,3,,A3248F,FFFFFF
440,YRT,440,ST THERESA SS VIA MILL,,3,,626469,FFFFFF
442,YRT,442,RICHMOND HILL HIGH SS VIA GAMBLE,,3,,626469,FFFFFF
443,YRT,443,LANGSTAFF SS VIA SHAFTSBURY,,3,,626469,FFFFFF
444,YRT,444,LANGSTAFF SS VIA BAYVIEW,,3,,626469,FFFFFF
445,YRT,445,ST ROBERT SS TO BERNARD TERM,,3,,626469,FFFFFF
446,YRT,446,ST THERESA SS VIA MACCALLUM,,3,,626469,FFFFFF
447,YRT,447,ST THERESA SS VIA JEFFERSON FOREST,,3,,626469,FFFFFF
448,YRT,448,RICHMOND HILL HIGH SS VIA VALLEYMED,,3,,626469,FFFFFF
449,YRT,449,RICHMOND GREEN SS VIA HILLMOUNT,,3,,626469,FFFFFF
450,YRT,450,ST THERESA SS VIA TOWER HILL,,3,,626469,FFFFFF
452,YRT,452,RICHMOND GREEN SS VIA HAZELTON,,3,,626469,FFFFFF
460,YRT,460,HOLY CROSS SS,,3,,626469,FFFFFF
461,YRT,461,EMILY CARR SS,,3,,626469,FFFFFF
462,YRT,462,MAPLE HIGH SS,,3,,626469,FFFFFF
464,YRT,464,ST JOAN OF ARC SS VIA AMERICA,,3,,626469,FFFFFF
465,YRT,465,ST JOAN OF ARC SS VIA MELVILLE,,3,,626469,FFFFFF
466,YRT,466,TOMMY DOUGLAS SECONDARY SS,,3,,626469,FFFFFF
467,YRT,467,TOMMY DOUGLAS SS VIA ST JEAN,,3,,A3248F,FFFFFF
468,YRT,468,EMILY CARR SS VIA KLEINGBURG,,3,,A3248F,FFFFFF
469,YRT,469,FATHER BRESSANI SCHOOL SPECIAL,,3,,A3248F,FFFFFF
470,YRT,470,WESTMOUNT SS VIA THORNHILL WOODS,,3,,A3248F,FFFFFF
471,YRT,471,STEPHEN LEWIS SS VIA LANGSTAFF SS,,3,,A3248F,FFFFFF
522,YRT,522,MARKHAM LOCAL,,3,,F28AB2,FFFFFF
601,YRT,blue,VIVA BLUE,,3,,009CDB,FFFFFF
602,YRT,blue A,VIVA BLUE-A,,3,,009CDB,FFFFFF
603,YRT,purple,VIVA PURPLE,,3,,9461A8,FFFFFF
60301,YRT,purple A,VIVA PURPLE A,,3,,A3248F,FFFFFF
604,YRT,pink,VIVA PINK,,3,,E877AE,FFFFFF
605,YRT,orange,VIVA ORANGE,,3,,FBAF33,111111
606,YRT,green,VIVA GREEN,,3,,C1D82E,FFFFFF
607,YRT,yellow,VIVA YELLOW,,3,,FFDD00,111111
720,YRT,720,HWY 407 TERMINAL/WONDERLAND,,3,,A3248F,FFFFFF
760,YRT,760,VAUGHAN MILLS / WONDERLAND,,3,,3C2415,FFFFFF
