stop_id,stop_code,stop_name,stop_desc,platform_code,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
6717,6717,MILLARD ST / GLAD PARK AV,,,43.974932,-79.259437,1,,0,,,1
6718,6718,STOUFFER ST / MAIN ST,,,43.973448,-79.238453,1,,0,,,1
6720,6720,MAIN ST / WEST LAWN CRES,,,43.968513,-79.260017,1,,0,,,1
6721,6721,MAIN ST / FAIRVIEW AV,,,43.969241,-79.256705,1,,0,,,1
6722,6722,MAIN ST / MILL ST,,,43.971391,-79.246891,1,,0,,,1
6723,6723,MAIN ST / PARK DR,,,43.972184,-79.243459,1,,0,,,2
6801,6801,CARRICK AV STOP # 6801,,,44.240686,-79.460841,1,,0,,,2
6165,6165,WOODBINE AV / PRINCE OF WALES,WOODBINE AV & PRINCE OF WALES DR,,43.905326,-79.378938,1,,0,,,1
6561,6561,NINTH LINE / CHURCH ST,,,43.884493,-79.236317,1,,0,,,2
6735,6735,PETER RUPERT AV / JAZZ DR,PETER RUPERT AVE & JAZZ DR,,43.853554,-79.495591,1,,0,,,1
6736,6736,STEELES AV / ISLINGTON AV,,,43.764507,-79.574512,1,,0,,,1
6738,6738,MAIN ST / BAKER HILL RD,,,43.965375,-79.274293,1,,0,,,2
6740,6740,KESWICK MARKETPLACE,GLENWOODS AV & WOODBINE AV,,44.218081,-79.447218,1,,0,,,1
6741,6741,YONGE ST / CANYON HILL AV,,,43.895054,-79.44295,1,,0,,,1
6554,6554,COPPER CREEK DR STOP # 6554,,,43.867323,-79.228283,1,,0,,,2
6751,6751,CLEGG RD STOP # 6751,,,43.851481,-79.344489,1,,0,,,2
6752,6752,CLEGG RD STOP # 6752,,,43.851553,-79.341141,1,,0,,,2
6753,6753,CLEGG RD / SOUTH TOWN CENTRE BLVD,,,43.85214,-79.338149,1,,0,,,2
6754,6754,CLEGG RD / SOUTH TOWN CENTRE BLVD,CELGG RD & SOUTH TOWN CENTRE BLVD,,43.852532,-79.337831,1,,0,,,2
6755,6755,CENTRE ST / ATKINSON AV,,,43.812325,-79.442814,1,,0,,,1
6756,6756,HONDA BLVD /  WOODBINE AV,,,43.910622,-79.378651,1,,0,,,2
6757,6757,HONDA BLVD / WOODBINE AV,,,43.910176,-79.378322,1,,0,,,1
6763,6763,BRISTOL RD / MALVERN CRES,,,44.073591,-79.45991,1,,0,,,2
6765,6765,CLEGG RD STOP # 6765,,,43.851765,-79.341119,1,,0,,,1
6766,6766,CLEGG RD STOP # 6766,,,43.851586,-79.344517,1,,0,,,1
6767,6767,CALDARI RD / GRANITERIDGE RD,,,43.825629,-79.529761,1,,0,,,2
6768,6768,CALDARI RD / GRANITERIDGE RD,,,43.825516,-79.529969,1,,0,,,1
6769,6769,BAYVIEW AV / SUMMIT TRAIL DR,,,43.917325,-79.425534,1,,0,,,2
6770,6770,BAYVIEW AV / SUMMIT TRAIL,BAYVIEW AVE & SUMMIT TRAIL,,43.917862,-79.4259,1,,0,,,2
6787,6787,14TH AV STOP # 6787,,,43.840819,-79.316692,1,,0,,,1
6788,6788,HIGHWAY 7 / ALLSTATE PKWY,,,43.848339,-79.364532,1,,0,,,1
6790,6790,HIGHWAY 7 / WOODBINE AV,,,43.849538,-79.35845,1,,0,,,1
6791,6791,HIGHWAY 7 / WOODBINE AV,,,43.850185,-79.357736,1,,0,,,1
6792,6792,HIGHWAY 7 / MONTGOMERY CT,,,43.850916,-79.352661,1,,0,,,1
