fare_id,price,currency_type,payment_method,transfers
93-76,19.30,CAD,1,
76-93,19.30,CAD,1,
92-76,18.55,CAD,1,
76-92,18.55,CAD,1,
91-76,17.75,CAD,1,
76-91,17.75,CAD,1,
90-76,11.80,CAD,1,
76-90,11.80,CAD,1,
89-76,11.65,CAD,1,
76-89,11.65,CAD,1,
88-76,14.45,CAD,1,
76-88,14.45,CAD,1,
87-76,13.65,CAD,1,
76-87,13.65,CAD,1,
86-76,12.45,CAD,1,
76-86,12.45,CAD,1,
85-76,26.10,CAD,1,
76-85,26.10,CAD,1,
84-76,28.50,CAD,1,
76-84,28.50,CAD,1,
83-76,26.35,CAD,1,
76-83,26.35,CAD,1,
82-76,23.85,CAD,1,
76-82,23.85,CAD,1,
81-76,23.05,CAD,1,
76-81,23.05,CAD,1,
80-76,21.70,CAD,1,
76-80,21.70,CAD,1,
79-76,15.80,CAD,1,
76-79,15.80,CAD,1,
78-76,17.95,CAD,1,
76-78,17.95,CAD,1,
77-76,11.20,CAD,1,
76-77,11.20,CAD,1,
76-76,4.40,CAD,1,
98-75,17.60,CAD,1,
75-98,17.60,CAD,1,
97-75,21.40,CAD,1,
75-97,21.40,CAD,1,
96-75,20.55,CAD,1,
75-96,20.55,CAD,1,
95-75,20.05,CAD,1,
75-95,20.05,CAD,1,
94-75,19.45,CAD,1,
75-94,19.45,CAD,1,
93-75,18.65,CAD,1,
75-93,18.65,CAD,1,
92-75,17.85,CAD,1,
75-92,17.85,CAD,1,
91-75,17.15,CAD,1,
75-91,17.15,CAD,1,
90-75,11.15,CAD,1,
75-90,11.15,CAD,1,
89-75,10.90,CAD,1,
75-89,10.90,CAD,1,
88-75,13.70,CAD,1,
75-88,13.70,CAD,1,
87-75,13.05,CAD,1,
75-87,13.05,CAD,1,
86-75,11.70,CAD,1,
75-86,11.70,CAD,1,
85-75,25.40,CAD,1,
75-85,25.40,CAD,1,
84-75,27.75,CAD,1,
75-84,27.75,CAD,1,
83-75,25.60,CAD,1,
75-83,25.60,CAD,1,
82-75,23.15,CAD,1,
75-82,23.15,CAD,1,
81-75,22.40,CAD,1,
75-81,22.40,CAD,1,
80-75,21.05,CAD,1,
75-80,21.05,CAD,1,
79-75,15.15,CAD,1,
75-79,15.15,CAD,1,
78-75,17.25,CAD,1,
75-78,17.25,CAD,1,
77-75,10.10,CAD,1,
75-77,10.10,CAD,1,
76-75,4.40,CAD,1,
75-76,4.40,CAD,1,
75-75,4.40,CAD,1,
98-74,17.35,CAD,1,
74-98,17.35,CAD,1,
97-74,20.40,CAD,1,
74-97,20.40,CAD,1,
96-74,19.55,CAD,1,
74-96,19.55,CAD,1,
95-74,19.00,CAD,1,
74-95,19.00,CAD,1,
94-74,18.45,CAD,1,
74-94,18.45,CAD,1,
93-74,17.60,CAD,1,
74-93,17.60,CAD,1,
92-74,16.85,CAD,1,
74-92,16.85,CAD,1,
91-74,16.15,CAD,1,
74-91,16.15,CAD,1,
90-74,9.60,CAD,1,
74-90,9.60,CAD,1,
89-74,9.45,CAD,1,
74-89,9.45,CAD,1,
88-74,12.70,CAD,1,
74-88,12.70,CAD,1,
87-74,12.00,CAD,1,
74-87,12.00,CAD,1,
86-74,5.30,CAD,1,
74-86,5.30,CAD,1,
85-74,24.35,CAD,1,
74-85,24.35,CAD,1,
84-74,26.75,CAD,1,
74-84,26.75,CAD,1,
83-74,24.65,CAD,1,
74-83,24.65,CAD,1,
82-74,22.20,CAD,1,
74-82,22.20,CAD,1,
81-74,21.40,CAD,1,
74-81,21.40,CAD,1,
80-74,20.05,CAD,1,
74-80,20.05,CAD,1,
79-74,14.20,CAD,1,
74-79,14.20,CAD,1,
78-74,16.25,CAD,1,
74-78,16.25,CAD,1,
77-74,9.10,CAD,1,
74-77,9.10,CAD,1,
76-74,7.45,CAD,1,
74-76,7.45,CAD,1,
75-74,4.40,CAD,1,
74-75,4.40,CAD,1,
74-74,4.40,CAD,1,
98-73,15.75,CAD,1,
73-98,15.75,CAD,1,
97-73,19.45,CAD,1,
73-97,19.45,CAD,1,
96-73,18.60,CAD,1,
73-96,18.60,CAD,1,
95-73,18.10,CAD,1,
73-95,18.10,CAD,1,
94-73,17.45,CAD,1,
73-94,17.45,CAD,1,
93-73,16.65,CAD,1,
73-93,16.65,CAD,1,
92-73,15.85,CAD,1,
73-92,15.85,CAD,1,
91-73,15.15,CAD,1,
73-91,15.15,CAD,1,
90-73,8.65,CAD,1,
73-90,8.65,CAD,1,
89-73,5.30,CAD,1,
73-89,5.30,CAD,1,
88-73,11.75,CAD,1,
73-88,11.75,CAD,1,
87-73,7.15,CAD,1,
73-87,7.15,CAD,1,
86-73,9.30,CAD,1,
73-86,9.30,CAD,1,
85-73,23.40,CAD,1,
73-85,23.40,CAD,1,
84-73,25.80,CAD,1,
73-84,25.80,CAD,1,
83-73,23.70,CAD,1,
73-83,23.70,CAD,1,
82-73,21.20,CAD,1,
73-82,21.20,CAD,1,
81-73,20.45,CAD,1,
73-81,20.45,CAD,1,
80-73,19.00,CAD,1,
73-80,19.00,CAD,1,
79-73,13.20,CAD,1,
73-79,13.20,CAD,1,
78-73,15.25,CAD,1,
73-78,15.25,CAD,1,
77-73,7.55,CAD,1,
73-77,7.55,CAD,1,
76-73,8.15,CAD,1,
73-76,8.15,CAD,1,
75-73,6.85,CAD,1,
73-75,6.85,CAD,1,
74-73,4.40,CAD,1,
73-74,4.40,CAD,1,
73-73,4.40,CAD,1,
98-72,15.65,CAD,1,
72-98,15.65,CAD,1,
97-72,18.85,CAD,1,
72-97,18.85,CAD,1,
96-72,18.00,CAD,1,
72-96,18.00,CAD,1,
95-72,17.45,CAD,1,
72-95,17.45,CAD,1,
94-72,16.90,CAD,1,
72-94,16.90,CAD,1,
93-72,16.15,CAD,1,
72-93,16.15,CAD,1,
92-72,15.30,CAD,1,
72-92,15.30,CAD,1,
91-72,14.60,CAD,1,
72-91,14.60,CAD,1,
90-72,7.55,CAD,1,
72-90,7.55,CAD,1,
89-72,5.10,CAD,1,
72-89,5.10,CAD,1,
88-72,11.20,CAD,1,
72-88,11.20,CAD,1,
87-72,10.05,CAD,1,
72-87,10.05,CAD,1,
86-72,5.65,CAD,1,
72-86,5.65,CAD,1,
85-72,22.80,CAD,1,
72-85,22.80,CAD,1,
84-72,25.15,CAD,1,
72-84,25.15,CAD,1,
83-72,23.05,CAD,1,
72-83,23.05,CAD,1,
82-72,20.60,CAD,1,
72-82,20.60,CAD,1,
81-72,19.85,CAD,1,
72-81,19.85,CAD,1,
80-72,18.50,CAD,1,
72-80,18.50,CAD,1,
79-72,12.60,CAD,1,
72-79,12.60,CAD,1,
78-72,14.70,CAD,1,
72-78,14.70,CAD,1,
77-72,6.30,CAD,1,
72-77,6.30,CAD,1,
76-72,8.70,CAD,1,
72-76,8.70,CAD,1,
75-72,7.45,CAD,1,
72-75,7.45,CAD,1,
74-72,5.10,CAD,1,
72-74,5.10,CAD,1,
73-72,4.40,CAD,1,
72-73,4.40,CAD,1,
72-72,4.40,CAD,1,
98-71,15.05,CAD,1,
71-98,15.05,CAD,1,
97-71,13.20,CAD,1,
71-97,13.20,CAD,1,
96-71,11.95,CAD,1,
71-96,11.95,CAD,1,
95-71,11.40,CAD,1,
71-95,11.40,CAD,1,
94-71,10.45,CAD,1,
71-94,10.45,CAD,1,
93-71,10.15,CAD,1,
71-93,10.15,CAD,1,
92-71,9.35,CAD,1,
71-92,9.35,CAD,1,
91-71,8.15,CAD,1,
71-91,8.15,CAD,1,
90-71,5.50,CAD,1,
71-90,5.50,CAD,1,
89-71,5.10,CAD,1,
71-89,5.10,CAD,1,
88-71,10.45,CAD,1,
71-88,10.45,CAD,1,
87-71,9.25,CAD,1,
71-87,9.25,CAD,1,
86-71,7.90,CAD,1,
71-86,7.90,CAD,1,
85-71,22.10,CAD,1,
71-85,22.10,CAD,1,
84-71,25.10,CAD,1,
71-84,25.10,CAD,1,
83-71,22.90,CAD,1,
71-83,22.90,CAD,1,
82-71,20.45,CAD,1,
71-82,20.45,CAD,1,
81-71,19.75,CAD,1,
71-81,19.75,CAD,1,
80-71,17.70,CAD,1,
71-80,17.70,CAD,1,
79-71,12.45,CAD,1,
71-79,12.45,CAD,1,
78-71,14.55,CAD,1,
71-78,14.55,CAD,1,
77-71,5.50,CAD,1,
71-77,5.50,CAD,1,
76-71,9.00,CAD,1,
71-76,9.00,CAD,1,
75-71,7.75,CAD,1,
71-75,7.75,CAD,1,
74-71,5.90,CAD,1,
71-74,5.90,CAD,1,
73-71,4.40,CAD,1,
71-73,4.40,CAD,1,
72-71,4.40,CAD,1,
71-72,4.40,CAD,1,
71-71,4.40,CAD,1,
98-70,14.75,CAD,1,
70-98,14.75,CAD,1,
